T.rec T.ins T.mki T.imu T.aln T.nav  Pitch.i Roll.i THdg.i  VE.i VN.i VU.bi  Lon.i Lat.i H.bi  Pitch.it Roll.it GHdg.it THdg.it  VE.it VN.it VU.bit  Lon.it Lat.it H.bit  Vr1 Vr2  Azm  Pitch.k Roll.k GHdg.k THdg.k  VE.k VN.k VU.k  Lon.k Lat.k H.k  dLon.i dLat.i dH.i  dLon.k dLat.k dH.k  alpha1.r alpha2.r beta3.r  WdX.r WdY.r WdZ.r  alpha1.s alpha2.s beta3.s  WdX.s WdY.s WdZ.s  dRE.n dRN.n dRU.n  dHb.n  dVE.n dVN.n dVU.n dV1.n dV2.n  alpha1.n alpha2.n beta3.n  WdX.n WdY.n WdZ.n  AoX.n AoY.n AoZ.n  TauP.n TauV.n  alpha1.d alpha2.d beta3.d  WdX.d WdY.d WdZ.d  AoX.d AoY.d AoZ.d  MSens msCause ms_dV1 ms_dV2 ms_dPitch ms_dRoll ms_dHdg  Pitch.at Roll.at THdg.at  Pitch.sm Roll.sm THdg.sm Ax.1s Ay.1s Az.1s  Ax.sm Ay.sm Az.sm  Wx.1s Wy.1s Wz.1s  Wx.sm Wy.sm Wz.sm  Ta.x Ta.y Ta.z  Tg.x Tg.y Tg.z  Lat.gc Lat.sm  Ws1 Ws2 Ws3  Wc1 Wc2 Wc3  Wd1.lat Wd2.lat  AccErr GyrErr  
286 286.09 0 286.09 282.7 0.39 2.50488281 0.142822266 -119.311523 -0.00140668406 -0.000803819466 0.000602864599 38.8448708 55.6884956 150 2.50503302 0.142221451 0.000793933868 -119.312425 -0.0012057292 -0.000803819466 0.000602864599 38.8448708 55.6884956 150 0 0.0012057292 -119.31324 2.5051403 0.142221451 0.000600814819 -119.312618 -0.00140668406 -0.000803819466 0.000602864599 38.8448708 55.6884956 150 -0.0367514694 -0.0558838248 0 -0.0367514694 -0.0558838248 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.5051403 0.142221451 -119.312618 0 0 0 0.430544376 9.80548221 -0.0239962339 0 0 0 -1.92775726 10.104847 7.00378418 0 0 0 75.8 76.1 77.15 75.3 74.95 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 452.180067 -8.22409945 
287 287.09 0 287.09 282.7 1.39 2.50488281 0.142822266 -119.311523 -0.00200954866 -0.0012057292 -0.000401909733 38.8448708 55.6884956 150 2.50544071 0.142006874 0.000472068787 -119.312747 -0.00200954866 -0.00100477433 -0.000200954866 38.8448708 55.6884956 149.996094 0 0.00200954866 -119.31324 2.50550508 0.142071247 0.000343322754 -119.312875 -0.00200954866 -0.0012057292 -0.000200954866 38.8448714 55.6884963 149.996094 -0.0367514694 -0.0558838248 -0.00390625 0.00525020992 0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50550508 0.142071247 -119.312875 0 0 0 0.429236352 9.80592495 -0.0244358778 0 0 0 -4.65803146 13.6659622 6.63385391 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 454.541275 -8.20224873 
288 288.09 0 288.09 282.7 2.39 2.50488281 0.142822266 -119.311523 -0.00442100706 -0.0024114584 -0.000803819466 38.8448708 55.6884956 150 2.50606298 0.14177084 0.000107288361 -119.313111 -0.00442100706 -0.0024114584 -0.000602864599 38.8448707 55.6884956 149.996094 0 0.00482291679 -119.31324 2.50599861 0.141642094 2.14576721e-05 -119.313197 -0.00442100706 -0.0024114584 -0.000602864599 38.8448714 55.6884963 149.996094 -0.0420016793 -0.0558838248 -0.00390625 0.00525020992 0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50599861 0.141642094 -119.313197 0 0 0 0.429418623 9.80661553 -0.0245156288 0 0 0 -2.78177261 12.666893 8.07323456 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 462.326016 -8.12224207 
289 289.09 0 289.09 282.7 3.39 2.50488281 0.142822266 -119.311523 -0.00723437519 -0.0036171876 -0.000602864599 38.8448708 55.6884956 150 2.50565529 0.141942501 -0.000321865082 -119.31354 -0.00723437519 -0.00341623273 -0.000401909733 38.8448706 55.6884956 149.996094 0.000401909733 0.00783723979 -119.31324 2.50567675 0.14185667 -0.00040769577 -119.313626 -0.00723437519 -0.0036171876 -0.000401909733 38.8448714 55.6884963 149.996094 -0.0472518892 -0.0651977956 -0.00390625 0.00525020992 0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50567675 0.14185667 -119.313626 0 0 0 0.432198524 9.80534178 -0.0238748193 0 0 0 -7.09133148 15.4280663 8.75902176 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 466.048768 -8.07013182 
290 290.09 0 290.09 282.7 4.39 2.50488281 0.142822266 -119.311523 -0.00482291679 -0.00321527786 -0.00221050353 38.8448704 55.6884956 150 2.5053978 0.142264366 0.000836849213 -119.312382 -0.00462196193 -0.003014323 -0.00200954866 38.8448705 55.6884956 149.996094 -0.000401909733 0.00542578139 -119.31324 2.50571966 0.142264366 0.000772476196 -119.312446 -0.00482291679 -0.00321527786 -0.00200954866 38.8448711 55.688496 149.996094 -0.0525020992 -0.0651977956 -0.00390625 -0.0157506297 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50571966 0.142264366 -119.312446 0 0 0 0.431155503 9.80554253 -0.0238577724 0 0 0 -0.950145721 13.0153656 8.35561752 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 465.446559 -8.0295738 
291 291.09 0 291.09 282.7 5.39 2.50488281 0.142822266 -119.311523 -0.00622960086 -0.00321527786 -0.00281336813 38.8448704 55.6884956 150 2.50524759 0.142478943 0.000321865082 -119.312918 -0.00602864599 -0.003014323 -0.00261241326 38.8448704 55.6884956 149.996094 0.000200954866 0.00643055573 -119.31324 2.50544071 0.142500401 0.000343322754 -119.312875 -0.00602864599 -0.00321527786 -0.00261241326 38.8448711 55.688496 149.996094 -0.0577523091 -0.0651977956 -0.00390625 -0.0157506297 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50544071 0.142500401 -119.312897 0 0 0 0.427681684 9.8043586 -0.025421381 0 0 0 -3.90100479 10.7786179 7.25355148 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 460.991811 -7.99213494 
292 292.09 0 292.09 282.7 6.39 2.50488281 0.142822266 -119.311523 -0.00582769113 -0.00281336813 -0.00341623273 38.8448704 55.6884956 150 2.50541925 0.142629147 0.00070810318 -119.31251 -0.00562673626 -0.00281336813 -0.00341623273 38.8448704 55.6884956 149.992188 0.000200954866 0.00602864599 -119.31324 2.50559092 0.142672062 0.000600814819 -119.312618 -0.00582769113 -0.00281336813 -0.00341623273 38.8448711 55.688496 149.996094 -0.063002519 -0.0651977956 -0.0078125 -0.0157506297 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50559092 0.142672062 -119.312618 0 0 0 0.43031925 9.80521435 -0.0239800215 0 0 0 -1.9080162 12.1510506 5.5223465 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 467.055764 -7.99213494 
293 293.09 0 293.09 282.7 7.39 2.50488281 0.142822266 -119.311523 -0.00643055573 -0.00321527786 -0.00422005219 38.8448704 55.6884956 150 2.50565529 0.142393112 0.000386238098 -119.312832 -0.00622960086 -0.00321527786 -0.00401909733 38.8448703 55.6884955 149.988281 0.000200954866 0.00683246546 -119.31324 2.50565529 0.14241457 0.00030040741 -119.31294 -0.00622960086 -0.00321527786 -0.00401909733 38.8448711 55.688496 149.996094 -0.0682527289 -0.0745117664 -0.01171875 -0.0157506297 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50565529 0.14241457 -119.31294 0 0 0 0.428480685 9.80499309 -0.0243033171 0 0 0 -3.03497314 11.3639832 7.50932693 0 0 0 75.8 76.1 77.15 75.3 74.95 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 472.790282 -7.99213494 
294 294.09 0 294.09 282.7 8.39 2.50488281 0.142822266 -119.311523 -0.0112534725 -0.00522482653 -0.00401909733 38.8448701 55.6884956 150 2.50541925 0.143272877 0.00111579895 -119.312103 -0.0110525177 -0.00502387166 -0.00401909733 38.8448701 55.6884955 149.984375 0.000803819466 0.0118563371 -119.31324 2.50544071 0.143294334 0.00111579895 -119.312124 -0.0112534725 -0.00522482653 -0.00401909733 38.8448711 55.688496 149.996094 -0.0787531487 -0.0745117664 -0.015625 -0.0157506297 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50544071 0.143294334 -119.312124 0 0 0 0.429771006 9.80525458 -0.0244293809 0 0 0 -4.04434204 12.9827499 7.75823593 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 479.3315 -7.96660176 
295 295.09 0 295.09 282.7 9.39 2.50488281 0.142822266 -119.311523 -0.00884201412 -0.00462196193 -0.00401909733 38.8448701 55.6884953 150 2.50546217 0.142929554 0.000214576721 -119.313004 -0.00864105926 -0.00442100706 -0.00381814246 38.8448699 55.6884954 149.984375 0.000200954866 0.00944487872 -119.31324 2.50556946 0.142972469 0.000171661377 -119.313047 -0.00864105926 -0.00462196193 -0.00381814246 38.8448708 55.688496 149.996094 -0.0892535686 -0.0838257372 -0.015625 -0.0367514694 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50556946 0.142972469 -119.313047 0 0 0 0.432928622 9.80510885 -0.0242316723 0 0 0 -2.11143494 13.8178825 7.40890503 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 481.155252 -7.86892227 
